1000 6075 6039
2000 12081 12042
3000 18087 18045
4000 24087 24045
5000 30093 30048
6000 36093 36048
7000 42093 42048
8000 48093 48048
9000 54099 54051
10000 60099 60051
1000 6147 6075
2000 12159 12081
3000 18171 18087
4000 24171 24087
5000 30183 30093
6000 36183 36093
7000 42183 42093
8000 48183 48093
9000 54195 54099
10000 60195 60099
1000 6219 6111
2000 12237 12120
3000 18255 18129
4000 24255 24129
5000 30273 30138
6000 36273 36138
7000 42273 42138
8000 48273 48138
9000 54291 54147
10000 60291 60147
1000 6291 6147
2000 12315 12159
3000 18339 18171
4000 24339 24171
5000 30363 30183
6000 36363 36183
7000 42363 42183
8000 48363 48183
9000 54387 54195
10000 60387 60195
1000 6363 6183
2000 12393 12198
3000 18423 18213
4000 24423 24213
5000 30453 30228
6000 36453 36228
7000 42453 42228
8000 48453 48228
9000 54483 54243
10000 60483 60243
1000 6435 6219
2000 12471 12237
3000 18507 18255
4000 24507 24255
5000 30543 30273
6000 36543 36273
7000 42543 42273
8000 48543 48273
9000 54579 54291
10000 60579 60291
1000 6507 6255
2000 12549 12276
3000 18591 18297
4000 24591 24297
5000 30633 30318
6000 36633 36318
7000 42633 42318
8000 48633 48318
9000 54675 54339
10000 60675 60339
1000 6579 6291
2000 12627 12315
3000 18675 18339
4000 24675 24339
5000 30723 30363
6000 36723 36363
7000 42723 42363
8000 48723 48363
9000 54771 54387
10000 60771 60387
1000 6651 6327
2000 12705 12354
3000 18759 18381
4000 24759 24381
5000 30813 30408
6000 36813 36408
7000 42813 42408
8000 48813 48408
9000 54867 54435
10000 60867 60435
1000 6723 6363
2000 12783 12393
3000 18843 18423
4000 24843 24423
5000 30903 30453
6000 36903 36453
7000 42903 42453
8000 48903 48453
9000 54963 54483
10000 60963 60483
1000 6795 6399
2000 12861 12432
3000 18927 18465
4000 24927 24465
5000 30993 30498
6000 36993 36498
7000 42993 42498
8000 48993 48498
9000 55059 54531
10000 61059 60531
1000 6867 6435
2000 12939 12471
3000 19011 18507
4000 25011 24507
5000 31083 30543
6000 37083 36543
7000 43083 42543
8000 49083 48543
9000 55155 54579
10000 61155 60579
1000 6939 6471
2000 13017 12510
3000 19095 18549
4000 25095 24549
5000 31173 30588
6000 37173 36588
7000 43173 42588
8000 49173 48588
9000 55251 54627
10000 61251 60627
1000 7011 6507
2000 13095 12549
3000 19179 18591
4000 25179 24591
5000 31263 30633
6000 37263 36633
7000 43263 42633
8000 49263 48633
9000 55347 54675
10000 61347 60675
1000 7083 6543
2000 13173 12588
3000 19263 18633
4000 25263 24633
5000 31353 30678
6000 37353 36678
7000 43353 42678
8000 49353 48678
9000 55443 54723
10000 61443 60723
1000 7155 6579
2000 13251 12627
3000 19347 18675
4000 25347 24675
5000 31443 30723
6000 37443 36723
7000 43443 42723
8000 49443 48723
9000 55539 54771
10000 61539 60771
1000 7227 6615
2000 13329 12666
3000 19431 18717
4000 25431 24717
5000 31533 30768
6000 37533 36768
7000 43533 42768
8000 49533 48768
9000 55635 54819
10000 61635 60819
1000 7299 6651
2000 13407 12705
3000 19515 18759
4000 25515 24759
5000 31623 30813
6000 37623 36813
7000 43623 42813
8000 49623 48813
9000 55731 54867
10000 61731 60867
1000 7371 6687
2000 13485 12744
3000 19599 18801
4000 25599 24801
5000 31713 30858
6000 37713 36858
7000 43713 42858
8000 49713 48858
9000 55827 54915
10000 61827 60915
1000 7443 6723
2000 13563 12783
3000 19683 18843
4000 25683 24843
5000 31803 30903
6000 37803 36903
7000 43803 42903
8000 49803 48903
9000 55923 54963
10000 61923 60963
1000 7515 6759
2000 13641 12822
3000 19767 18885
4000 25767 24885
5000 31893 30948
6000 37893 36948
7000 43893 42948
8000 49893 48948
9000 56019 55011
10000 62019 61011
1000 7587 6795
2000 13719 12861
3000 19851 18927
4000 25851 24927
5000 31983 30993
6000 37983 36993
7000 43983 42993
8000 49983 48993
9000 56115 55059
10000 62115 61059
1000 7659 6831
2000 13797 12900
3000 19935 18969
4000 25935 24969
5000 32073 31038
6000 38073 37038
7000 44073 43038
8000 50073 49038
9000 56211 55107
10000 62211 61107
1000 7731 6867
2000 13875 12939
3000 20019 19011
4000 26019 25011
5000 32163 31083
6000 38163 37083
7000 44163 43083
8000 50163 49083
9000 56307 55155
10000 62307 61155
1000 7803 6903
2000 13953 12978
3000 20103 19053
4000 26103 25053
5000 32253 31128
6000 38253 37128
7000 44253 43128
8000 50253 49128
9000 56403 55203
10000 62403 61203
1000 7875 6939
2000 14031 13017
3000 20187 19095
4000 26187 25095
5000 32343 31173
6000 38343 37173
7000 44343 43173
8000 50343 49173
9000 56499 55251
10000 62499 61251
1000 7947 6975
