0 0 0
10 40 37
20 80 77
30 120 117
40 160 157
50 200 197
60 240 237
70 280 277
80 320 317
90 360 357
100 400 397
110 440 437
120 480 477
130 520 517
140 560 557
150 600 597
160 640 637
170 680 677
180 720 717
190 760 757
200 800 797
100 400 397
200 800 797
300 1200 1197
400 1600 1597
500 2000 1997
600 2400 2397
700 2800 2797
800 3200 3197
900 3600 3597
1000 4000 3997
1100 4400 4397
1200 4800 4797
1300 5200 5197
1400 5600 5597
1500 6000 5997
1600 6400 6397
1700 6800 6797
1800 7200 7197
1900 7600 7597
2000 8000 7997
1000 4000 3997
2000 8000 7997
3000 12000 11997
4000 16000 15997
5000 20000 19997
6000 24000 23997
7000 28000 27997
8000 32000 31997
9000 36000 35997
10000 40000 39997
