0 0 0
10 40 40
20 80 80
30 120 120
40 160 160
50 200 200
60 240 240
70 280 280
80 320 320
90 360 360
100 400 400
110 440 440
120 480 480
130 520 520
140 560 560
150 600 600
160 640 640
170 680 680
180 720 720
190 760 760
200 800 800
100 400 400
200 800 800
300 1200 1200
400 1600 1600
500 2000 2000
600 2400 2400
700 2800 2800
800 3200 3200
900 3600 3600
1000 4000 4000
1100 4400 4400
1200 4800 4800
1300 5200 5200
1400 5600 5600
1500 6000 6000
1600 6400 6400
1700 6800 6800
1800 7200 7200
1900 7600 7600
2000 8000 8000
1000 4000 4000
2000 8000 8000
3000 12000 12000
4000 16000 16000
5000 20000 20000
6000 24000 24000
7000 28000 28000
8000 32000 32000
9000 36000 36000
10000 40000 40000
