0 0 0
10 160 100
20 320 208
30 480 328
40 640 444
50 800 572
60 960 700
70 1120 828
80 1280 952
90 1440 1084
100 1600 1220
110 1760 1348
120 1920 1484
130 2080 1616
140 2240 1752
150 2400 1888
160 2560 2020
170 2720 2160
180 2880 2292
190 3040 2432
200 3200 2572
100 1600 1220
200 3200 2572
300 4800 3952
400 6400 5372
500 8000 6796
600 9600 8228
700 11200 9676
800 12800 11124
900 14400 12580
1000 16000 14040
1100 17600 15516
1200 19200 16976
1300 20800 18456
1400 22400 19928
1500 24000 21408
1600 25600 22888
1700 27200 24376
1800 28800 25868
1900 30400 27356
2000 32000 28852
1000 16000 14040
2000 32000 28852
3000 48000 43832
4000 64000 58932
5000 80000 74104
6000 96000 89328
7000 112000 104580
8000 128000 119880
9000 144000 135208
10000 160000 150556
