0 4 4
10 34 34
20 64 64
30 94 94
40 124 124
50 154 154
60 184 184
70 214 214
80 244 244
90 274 274
100 304 304
110 334 334
120 364 364
130 394 394
140 424 424
150 454 454
160 484 484
170 514 514
180 544 544
190 574 574
200 604 604
100 304 304
200 604 604
300 904 904
400 1204 1204
500 1504 1504
600 1804 1804
700 2104 2104
800 2404 2404
900 2704 2704
1000 3004 3004
1100 3304 3304
1200 3604 3604
1300 3904 3904
1400 4204 4204
1500 4504 4504
1600 4804 4804
1700 5104 5104
1800 5404 5404
1900 5704 5704
2000 6004 6004
1000 3004 3004
2000 6004 6004
3000 9004 9004
4000 12004 12004
5000 15004 15004
6000 18004 18004
7000 21004 21004
8000 24004 24004
9000 27004 27004
10000 30004 30004
