0 3 3
1 9 9
2 19 19
3 33 33
4 51 51
5 73 73
6 99 99
7 129 129
8 163 163
9 201 201
10 243 243
11 289 289
12 339 339
13 393 393
14 451 451
15 513 513
16 579 579
17 649 649
18 723 723
19 801 801
20 883 883
21 969 969
22 1059 1059
23 1153 1153
24 1251 1251
25 1353 1353
26 1459 1459
27 1569 1569
28 1683 1683
29 1801 1801
30 1923 1923
100 20403 20403
150 45603 45603
200 80803 80803
250 126003 126003
300 181203 181203
350 246403 246403
400 321603 321603
450 406803 406803
500 502003 502003
550 607203 607203
600 722403 722403
650 847603 847603
700 982803 982803
750 1128003 1128003
800 1283203 1283203
850 1448403 1448403
900 1623603 1623603
950 1808803 1808803
1000 2004003 2004003
