10 110 80
20 210 150
30 310 220
40 410 290
50 510 360
60 610 430
70 710 500
80 810 570
90 910 640
100 1010 710
110 1110 780
120 1210 850
130 1310 920
140 1410 990
150 1510 1060
160 1610 1130
170 1710 1200
180 1810 1270
190 1910 1340
200 2010 1410
100 1010 710
200 2010 1410
300 3010 2110
400 4010 2810
500 5010 3510
600 6010 4210
700 7010 4910
800 8010 5610
900 9010 6310
1000 10010 7010
1100 11010 7710
1200 12010 8410
1300 13010 9110
1400 14010 9810
1500 15010 10510
1600 16010 11210
1700 17010 11910
1800 18010 12610
1900 19010 13310
2000 20010 14010
1000 10010 7010
2000 20010 14010
3000 30010 21010
4000 40010 28010
5000 50010 35010
6000 60010 42010
7000 70010 49010
8000 80010 56010
9000 90010 63010
10000 100010 70010
