0 3 3
10 23 23
20 43 43
30 63 63
40 83 83
50 103 103
60 123 123
70 143 143
80 163 163
90 183 183
100 203 203
110 223 223
120 243 243
130 263 263
140 283 283
150 303 303
160 323 323
170 343 343
180 363 363
190 383 383
200 403 403
100 203 203
200 403 403
300 603 603
400 803 803
500 1003 1003
600 1203 1203
700 1403 1403
800 1603 1603
900 1803 1803
1000 2003 2003
1100 2203 2203
1200 2403 2403
1300 2603 2603
1400 2803 2803
1500 3003 3003
1600 3203 3203
1700 3403 3403
1800 3603 3603
1900 3803 3803
2000 4003 4003
1000 2003 2003
2000 4003 4003
3000 6003 6003
4000 8003 8003
5000 10003 10003
6000 12003 12003
7000 14003 14003
8000 16003 16003
9000 18003 18003
10000 20003 20003
