10 819
20 1460
30 2066
40 2658
50 3242
60 3822
70 4399
80 4974
90 5547
100 6118
110 6689
120 7258
130 7827
140 8395
150 8962
160 9529
170 10096
180 10662
190 11228
200 11794
100 6118
200 11794
300 17438
400 23069
500 28693
600 34313
700 39929
800 45544
900 51157
1000 56768
1100 62378
1200 67988
1300 73596
1400 79204
1500 84812
1600 90419
1700 96025
1800 101631
1900 107237
2000 112843
1000 56768
2000 112843
3000 168887
4000 224918
5000 280942
6000 336962
7000 392978
8000 448993
9000 505005
10000 561017
