1000 53454 51173
2000 106490 102195
3000 159526 153217
4000 212526 204217
5000 265562 255239
6000 318562 306239
7000 371562 357239
8000 424562 408239
9000 477598 459261
10000 530598 510261
1000 53886 51372
2000 106958 102416
3000 160030 153438
4000 213030 204460
5000 266102 255482
6000 319102 306482
7000 372102 357504
8000 425102 408504
9000 478174 459526
10000 531174 510526
1000 54318 51549
2000 107426 102615
3000 160534 153659
4000 213534 204681
5000 266642 255725
6000 319642 306725
7000 372642 357747
8000 425642 408747
9000 478750 459791
10000 531750 510791
1000 54750 51748
2000 107894 102836
3000 161038 153880
4000 214038 204924
5000 267182 255946
6000 320182 306968
7000 373182 357990
8000 426182 409012
9000 479326 460034
10000 532326 511034
1000 55182 51925
2000 108362 103035
3000 161542 154079
4000 214542 205145
5000 267722 256189
6000 320722 307189
7000 373722 358233
8000 426722 409255
9000 479902 460299
10000 532902 511299
1000 55614 52102
2000 108830 103234
3000 162046 154300
4000 215046 205366
5000 268262 256410
6000 321262 307432
7000 374262 358454
8000 427262 409498
9000 480478 460542
10000 533478 511542
1000 56046 52257
2000 109298 103411
3000 162550 154521
4000 215550 205565
5000 268802 256631
6000 321802 307675
7000 374802 358697
8000 427802 409719
9000 481054 460785
10000 534054 511785
1000 56478 52456
2000 109766 103632
3000 163054 154720
4000 216054 205808
5000 269342 256852
6000 322342 307896
7000 375342 358940
8000 428342 409984
9000 481630 461006
10000 534630 512028
1000 56910 52633
2000 110234 103831
3000 163558 154919
4000 216558 206029
5000 269882 257051
6000 322882 308117
7000 375882 359161
8000 428882 410227
9000 482206 461271
10000 535206 512249
1000 57342 52810
2000 110702 104030
3000 164062 155118
4000 217062 206250
5000 270422 257294
6000 323422 308338
7000 376422 359404
8000 429422 410470
9000 482782 461514
10000 535782 512514
1000 57774 52965
2000 111170 104207
3000 164566 155295
4000 217566 206449
5000 270962 257515
6000 323962 308537
7000 376962 359625
8000 429962 410691
9000 483358 461757
10000 536358 512757
1000 58206 53142
2000 111638 104406
3000 165070 155516
4000 218070 206670
5000 271502 257736
6000 324502 308780
7000 377502 359846
8000 430502 410934
9000 483934 461978
10000 536934 513000
1000 58638 53297
2000 112106 104583
3000 165574 155737
4000 218574 206869
5000 272042 257957
6000 325042 309023
7000 378042 360045
8000 431042 411155
9000 484510 462221
10000 537510 513243
1000 59070 53452
2000 112574 104760
3000 166078 155936
4000 219078 207068
5000 272582 258156
6000 325582 309244
7000 378582 360288
8000 431582 411376
9000 485086 462442
10000 538086 513464
1000 59502 53585
2000 113042 104915
3000 166582 156135
4000 219582 207245
5000 273122 258377
6000 326122 309465
7000 379122 360531
8000 432122 411575
9000 485662 462663
10000 538662 513707
1000 59934 53784
2000 113510 105136
3000 167086 156334
4000 220086 207488
5000 273662 258576
6000 326662 309686
7000 379662 360752
8000 432662 411840
9000 486238 462884
10000 539238 513928
1000 60366 53961
2000 113978 105335
3000 167590 156511
4000 220590 207709
5000 274202 258775
6000 327202 309885
7000 380202 360995
8000 433202 412083
9000 486814 463083
10000 539814 514149
1000 60798 54138
2000 114446 105534
3000 168094 156710
4000 221094 207930
5000 274742 258974
6000 327742 310106
7000 380742 361216
8000 433742 412326
9000 487390 463348
10000 540390 514370
1000 61230 54293
2000 114914 105711
3000 168598 156909
4000 221598 208129
5000 275282 259151
6000 328282 310327
7000 381282 361437
8000 434282 412547
9000 487966 463591
10000 540966 514569
1000 61662 54470
