1000 53454 51173
2000 106490 104209
3000 159526 157245
4000 212526 210245
5000 265562 263281
6000 318562 316281
7000 371562 369281
8000 424562 422281
9000 477598 475317
10000 530598 528317
1000 53886 51605
2000 106958 104677
3000 160030 157749
4000 213030 210749
5000 266102 263821
6000 319102 316821
7000 372102 369821
8000 425102 422821
9000 478174 475893
10000 531174 528893
1000 54318 52037
2000 107426 105145
3000 160534 158253
4000 213534 211253
5000 266642 264361
6000 319642 317361
7000 372642 370361
8000 425642 423361
9000 478750 476469
10000 531750 529469
1000 54750 52469
2000 107894 105613
3000 161038 158757
4000 214038 211757
5000 267182 264901
6000 320182 317901
7000 373182 370901
8000 426182 423901
9000 479326 477045
10000 532326 530045
1000 55182 52901
2000 108362 106081
3000 161542 159261
4000 214542 212261
5000 267722 265441
6000 320722 318441
7000 373722 371441
8000 426722 424441
9000 479902 477621
10000 532902 530621
1000 55614 53333
2000 108830 106549
3000 162046 159765
4000 215046 212765
5000 268262 265981
6000 321262 318981
7000 374262 371981
8000 427262 424981
9000 480478 478197
10000 533478 531197
1000 56046 53765
2000 109298 107017
3000 162550 160269
4000 215550 213269
5000 268802 266521
6000 321802 319521
7000 374802 372521
8000 427802 425521
9000 481054 478773
10000 534054 531773
1000 56478 54197
2000 109766 107485
3000 163054 160773
4000 216054 213773
5000 269342 267061
6000 322342 320061
7000 375342 373061
8000 428342 426061
9000 481630 479349
10000 534630 532349
1000 56910 54629
2000 110234 107953
3000 163558 161277
4000 216558 214277
5000 269882 267601
6000 322882 320601
7000 375882 373601
8000 428882 426601
9000 482206 479925
10000 535206 532925
1000 57342 55061
2000 110702 108421
3000 164062 161781
4000 217062 214781
5000 270422 268141
6000 323422 321141
7000 376422 374141
8000 429422 427141
9000 482782 480501
10000 535782 533501
1000 57774 55493
2000 111170 108889
3000 164566 162285
4000 217566 215285
5000 270962 268681
6000 323962 321681
7000 376962 374681
8000 429962 427681
9000 483358 481077
10000 536358 534077
1000 58206 55925
2000 111638 109357
3000 165070 162789
4000 218070 215789
5000 271502 269221
6000 324502 322221
7000 377502 375221
8000 430502 428221
9000 483934 481653
10000 536934 534653
1000 58638 56357
2000 112106 109825
3000 165574 163293
4000 218574 216293
5000 272042 269761
6000 325042 322761
7000 378042 375761
8000 431042 428761
9000 484510 482229
10000 537510 535229
1000 59070 56789
2000 112574 110293
3000 166078 163797
4000 219078 216797
5000 272582 270301
6000 325582 323301
7000 378582 376301
8000 431582 429301
9000 485086 482805
10000 538086 535805
1000 59502 57221
2000 113042 110761
3000 166582 164301
4000 219582 217301
5000 273122 270841
6000 326122 323841
7000 379122 376841
8000 432122 429841
9000 485662 483381
10000 538662 536381
1000 59934 57653
2000 113510 111229
3000 167086 164805
4000 220086 217805
5000 273662 271381
6000 326662 324381
7000 379662 377381
8000 432662 430381
9000 486238 483957
10000 539238 536957
1000 60366 58085
2000 113978 111697
3000 167590 165309
4000 220590 218309
5000 274202 271921
6000 327202 324921
7000 380202 377921
8000 433202 430921
9000 486814 484533
10000 539814 537533
1000 60798 58517
2000 114446 112165
3000 168094 165813
4000 221094 218813
5000 274742 272461
6000 327742 325461
7000 380742 378461
8000 433742 431461
9000 487390 485109
10000 540390 538109
1000 61230 58949
2000 114914 112633
3000 168598 166317
4000 221598 219317
5000 275282 273001
6000 328282 326001
7000 381282 379001
8000 434282 432001
9000 487966 485685
10000 540966 538685
1000 61662 59381
2000 115382 113101
3000 169102 166821
4000 222102 219821
5000 275822 273541
6000 328822 326541
7000 381822 379541
8000 434822 432541
9000 488542 486261
10000 541542 539261
1000 62094 59813
2000 115850 113569
3000 169606 167325
4000 222606 220325
5000 276362 274081
6000 329362 327081
7000 382362 380081
8000 435362 433081
9000 489118 486837
10000 542118 539837
1000 62526 60245
2000 116318 114037
3000 170110 167829
4000 223110 220829
5000 276902 274621
6000 329902 327621
7000 382902 380621
8000 435902 433621
9000 489694 487413
10000 542694 540413
1000 62958 60677
2000 116786 114505
3000 170614 168333
4000 223614 221333
5000 277442 275161
6000 330442 328161
7000 383442 381161
8000 436442 434161
9000 490270 487989
10000 543270 540989
1000 63390 61109
2000 117254 114973
3000 171118 168837
4000 224118 221837
5000 277982 275701
6000 330982 328701
7000 383982 381701
8000 436982 434701
9000 490846 488565
10000 543846 541565
1000 63822 61541
2000 117722 115441
3000 171622 169341
4000 224622 222341
5000 278522 276241
6000 331522 329241
7000 384522 382241
8000 437522 435241
9000 491422 489141
10000 544422 542141
1000 64254 61973
2000 118190 115909
3000 172126 169845
4000 225126 222845
5000 279062 276781
6000 332062 329781
7000 385062 382781
8000 438062 435781
9000 491998 489717
10000 544998 542717
1000 64686 62405
2000 118658 116377
3000 172630 170349
4000 225630 223349
5000 279602 277321
6000 332602 330321
7000 385602 383321
8000 438602 436321
9000 492574 490293
10000 545574 543293
1000 65118 62837
2000 119126 116845
3000 173134 170853
4000 226134 223853
5000 280142 277861
6000 333142 330861
7000 386142 383861
8000 439142 436861
9000 493150 490869
10000 546150 543869
1000 65550 63269
2000 119594 117313
3000 173638 171357
4000 226638 224357
5000 280682 278401
6000 333682 331401
7000 386682 384401
8000 439682 437401
9000 493726 491445
10000 546726 544445
1000 65982 63701
2000 120062 117781
3000 174142 171861
4000 227142 224861
5000 281222 278941
