0 65 12
10 725 622
20 1385 1199
30 2045 1766
40 2705 2315
50 3365 2864
60 4025 3402
70 4685 3933
80 5345 4490
90 6005 5021
100 6665 5552
110 7325 6091
120 7985 6619
130 8645 7165
140 9305 7685
150 9965 8206
160 10625 8745
170 11285 9265
180 11945 9805
190 12605 10318
200 13265 10853
100 6665 5552
200 13265 10853
300 19865 16095
400 26465 21278
500 33065 26446
600 39665 31605
700 46265 36735
800 52865 41872
900 59465 46989
1000 66065 52102
1100 72665 57198
1200 79265 62308
1300 85865 67386
1400 92465 72486
1500 99065 77568
1600 105665 82654
1700 112265 87726
1800 118865 92801
1900 125465 97866
2000 132065 102917
1000 66065 52102
2000 132065 102917
3000 198065 153466
4000 264065 203833
5000 330065 254078
6000 396065 304259
7000 462065 354381
8000 528065 404442
9000 594065 454450
10000 660065 504431
