0 65 65
10 725 635
20 1385 1205
30 2045 1775
40 2705 2345
50 3365 2915
60 4025 3485
70 4685 4055
80 5345 4625
90 6005 5195
100 6665 5765
110 7325 6335
120 7985 6905
130 8645 7475
140 9305 8045
150 9965 8615
160 10625 9185
170 11285 9755
180 11945 10325
190 12605 10895
200 13265 11465
100 6665 5765
200 13265 11465
300 19865 17165
400 26465 22865
500 33065 28565
600 39665 34265
700 46265 39965
800 52865 45665
900 59465 51365
1000 66065 57065
1100 72665 62765
1200 79265 68465
1300 85865 74165
1400 92465 79865
1500 99065 85565
1600 105665 91265
1700 112265 96965
1800 118865 102665
1900 125465 108365
2000 132065 114065
1000 66065 57065
2000 132065 114065
3000 198065 171065
4000 264065 228065
5000 330065 285065
6000 396065 342065
7000 462065 399065
8000 528065 456065
9000 594065 513065
10000 660065 570065
