0 18 12
10 572 482
20 2163 1962
30 4247 3747
40 7708 7197
50 11322 10567
60 16653 15622
70 21797 20642
80 28998 27207
90 35672 33977
100 44743 42122
110 52947 50872
120 63888 60777
130 73622 69652
140 86433 81387
150 97697 93842
160 112378 107862
170 125172 119357
180 141723 135642
190 156047 147567
200 174468 166167
100 44743 42167
150 97697 91702
200 174468 168182
250 269072 259472
300 389193 372127
350 525447 504747
400 688918 661617
450 866822 830472
500 1073643 1031412
550 1293197 1244837
600 1543368 1486157
650 1804572 1733287
700 2098093 2016847
750 2400947 2303907
800 2737818 2636522
850 3082322 2969312
900 3462543 3331357
950 3848697 3715797
1000 4272268 4107977
