0 18 18
10 572 492
20 2163 1963
30 4247 3967
40 7708 7308
50 11322 10842
60 16653 16053
70 21797 21117
80 28998 28198
90 35672 34792
100 44743 43743
110 52947 51867
120 63888 62688
130 73622 72342
140 86433 85033
150 97697 96217
160 112378 110778
170 125172 123492
180 141723 139923
190 156047 154167
200 174468 172468
100 44743 43743
150 97697 96217
200 174468 172468
250 269072 266592
300 389193 386193
350 525447 521967
400 688918 684918
450 866822 862342
500 1073643 1068643
550 1293197 1287717
600 1543368 1537368
650 1804572 1798092
700 2098093 2091093
750 2400947 2393467
800 2737818 2729818
850 3082322 3073842
900 3462543 3453543
950 3848697 3839217
1000 4272268 4262268
