1000 15021 15002
2000 30021 30002
3000 45021 45002
4000 60021 60002
5000 75021 75002
6000 90021 90002
7000 105021 105002
8000 120021 120002
9000 135021 135002
10000 150021 150002
1000 30029 29991
2000 60029 59991
3000 90029 89991
4000 120029 119991
5000 150029 149991
6000 180029 179991
7000 210029 209991
8000 240029 239991
9000 270029 269991
10000 300029 299991
1000 45037 44965
2000 90037 89965
3000 135037 134965
4000 180037 179965
5000 225037 224965
6000 270037 269965
7000 315037 314965
8000 360037 359965
9000 405037 404965
10000 450037 449965
1000 60045 59924
2000 120045 119924
3000 180045 179924
4000 240045 239924
5000 300045 299924
6000 360045 359924
7000 420045 419924
8000 480045 479924
9000 540045 539924
10000 600045 599924
1000 75053 74868
2000 150053 149868
3000 225053 224868
4000 300053 299868
5000 375053 374868
6000 450053 449868
7000 525053 524868
8000 600053 599868
9000 675053 674868
10000 750053 749868
1000 90061 89797
2000 180061 179797
3000 270061 269797
4000 360061 359797
5000 450061 449797
6000 540061 539797
7000 630061 629797
8000 720061 719797
9000 810061 809797
10000 900061 899797
1000 105069 104711
2000 210069 209711
3000 315069 314711
4000 420069 419711
5000 525069 524711
6000 630069 629711
7000 735069 734711
8000 840069 839711
9000 945069 944711
10000 1050069 1049711
1000 120077 119610
2000 240077 239610
3000 360077 359610
4000 480077 479610
5000 600077 599610
6000 720077 719610
7000 840077 839610
8000 960077 959610
9000 1080077 1079610
10000 1200077 1199610
1000 135085 134494
2000 270085 269494
3000 405085 404494
4000 540085 539494
5000 675085 674494
6000 810085 809494
7000 945085 944494
8000 1080085 1079494
9000 1215085 1214494
10000 1350085 1349494
1000 150093 149363
2000 300093 299363
3000 450093 449363
4000 600093 599363
5000 750093 749363
6000 900093 899363
7000 1050093 1049363
8000 1200093 1199363
9000 1350093 1349363
10000 1500093 1499363
1000 165101 164217
2000 330101 329217
3000 495101 494217
4000 660101 659217
5000 825101 824217
6000 990101 989217
7000 1155101 1154217
8000 1320101 1319217
9000 1485101 1484217
10000 1650101 1649217
1000 180109 179056
2000 360109 359056
3000 540109 539056
4000 720109 719056
5000 900109 899056
6000 1080109 1079056
7000 1260109 1259056
8000 1440109 1439056
9000 1620109 1619056
10000 1800109 1799056
1000 195117 193880
2000 390117 388880
3000 585117 583880
4000 780117 778880
5000 975117 973880
6000 1170117 1168880
7000 1365117 1363880
8000 1560117 1558880
9000 1755117 1753880
10000 1950117 1948880
1000 210125 208689
2000 420125 418689
3000 630125 628689
4000 840125 838689
5000 1050125 1048689
6000 1260125 1258689
7000 1470125 1468689
8000 1680125 1678689
9000 1890125 1888689
10000 2100125 2098689
1000 225133 223483
2000 450133 448483
3000 675133 673483
4000 900133 898483
5000 1125133 1123483
6000 1350133 1348483
7000 1575133 1573483
8000 1800133 1798483
9000 2025133 2023483
10000 2250133 2248483
1000 240141 238262
2000 480141 478262
3000 720141 718262
4000 960141 958262
5000 1200141 1198262
6000 1440141 1438262
7000 1680141 1678262
8000 1920141 1918262
9000 2160141 2158262
10000 2400141 2398262
1000 255149 253026
2000 510149 508026
3000 765149 763026
4000 1020149 1018026
5000 1275149 1273026
6000 1530149 1528026
7000 1785149 1783026
8000 2040149 2038026
9000 2295149 2293026
10000 2550149 2548026
1000 270157 267775
2000 540157 537775
3000 810157 807775
4000 1080157 1077775
5000 1350157 1347775
6000 1620157 1617775
7000 1890157 1887775
8000 2160157 2157775
9000 2430157 2427775
10000 2700157 2697775
1000 285165 282509
2000 570165 567509
3000 855165 852509
4000 1140165 1137509
5000 1425165 1422509
6000 1710165 1707509
7000 1995165 1992509
8000 2280165 2277509
9000 2565165 2562509
10000 2850165 2847509
1000 300173 297228
2000 600173 597228
3000 900173 897228
4000 1200173 1197228
5000 1500173 1497228
6000 1800173 1797228
7000 2100173 2097228
8000 2400173 2397228
9000 2700173 2697228
10000 3000173 2997228
1000 315181 311932
2000 630181 626932
3000 945181 941932
4000 1260181 1256932
5000 1575181 1571932
6000 1890181 1886932
7000 2205181 2201932
8000 2520181 2516932
9000 2835181 2831932
10000 3150181 3146932
1000 330189 326621
2000 660189 656621
3000 990189 986621
4000 1320189 1316621
5000 1650189 1646621
6000 1980189 1976621
7000 2310189 2306621
8000 2640189 2636621
9000 2970189 2966621
10000 3300189 3296621
1000 345197 341295
2000 690197 686295
3000 1035197 1031295
4000 1380197 1376295
5000 1725197 1721295
6000 2070197 2066295
7000 2415197 2411295
8000 2760197 2756295
9000 3105197 3101295
10000 3450197 3446295
1000 360205 355954
2000 720205 715954
3000 1080205 1075954
4000 1440205 1435954
5000 1800205 1795954
6000 2160205 2155954
7000 2520205 2515954
8000 2880205 2875954
9000 3240205 3235954
10000 3600205 3595954
1000 375213 370598
2000 750213 745598
3000 1125213 1120598
4000 1500213 1495598
5000 1875213 1870598
6000 2250213 2245598
7000 2625213 2620598
8000 3000213 2995598
9000 3375213 3370598
10000 3750213 3745598
1000 390221 385227
2000 780221 775227
3000 1170221 1165227
4000 1560221 1555227
5000 1950221 1945227
6000 2340221 2335227
7000 2730221 2725227
8000 3120221 3115227
9000 3510221 3505227
10000 3900221 3895227
1000 405229 399841
2000 810229 804841
3000 1215229 1209841
4000 1620229 1614841
5000 2025229 2019841
6000 2430229 2424841
7000 2835229 2829841
8000 3240229 3234841
9000 3645229 3639841
10000 4050229 4044841
1000 420237 414440
2000 840237 834440
3000 1260237 1254440
4000 1680237 1674440
5000 2100237 2094440
6000 2520237 2514440
7000 2940237 2934440
8000 3360237 3354440
9000 3780237 3774440
10000 4200237 4194440
1000 435245 429024
2000 870245 864024
3000 1305245 1299024
4000 1740245 1734024
5000 2175245 2169024
6000 2610245 2604024
7000 3045245 3039024
8000 3480245 3474024
9000 3915245 3909024
10000 4350245 4344024
1000 450253 443593
2000 900253 893593
3000 1350253 1343593
4000 1800253 1793593
5000 2250253 2243593
6000 2700253 2693593
7000 3150253 3143593
8000 3600253 3593593
9000 4050253 4043593
10000 4500253 4493593
1000 465261 458147
2000 930261 923147
3000 1395261 1388147
4000 1860261 1853147
5000 2325261 2318147
6000 2790261 2783147
7000 3255261 3248147
8000 3720261 3713147
9000 4185261 4178147
10000 4650261 4643147
1000 480269 472686
2000 960269 952686
3000 1440269 1432686
4000 1920269 1912686
5000 2400269 2392686
6000 2880269 2872686
7000 3360269 3352686
8000 3840269 3832686
9000 4320269 4312686
10000 4800269 4792686
1000 495277 487210
2000 990277 982210
3000 1485277 1477210
4000 1980277 1972210
5000 2475277 2467210
6000 2970277 2962210
7000 3465277 3457210
8000 3960277 3952210
9000 4455277 4447210
10000 4950277 4942210
1000 510285 501719
2000 1020285 1011719
3000 1530285 1521719
4000 2040285 2031719
5000 2550285 2541719
6000 3060285 3051719
7000 3570285 3561719
8000 4080285 4071719
9000 4590285 4581719
10000 5100285 5091719
1000 525293 516213
2000 1050293 1041213
3000 1575293 1566213
4000 2100293 2091213
5000 2625293 2616213
6000 3150293 3141213
7000 3675293 3666213
8000 4200293 4191213
9000 4725293 4716213
10000 5250293 5241213
1000 540301 530692
2000 1080301 1070692
3000 1620301 1610692
4000 2160301 2150692
5000 2700301 2690692
6000 3240301 3230692
7000 3780301 3770692
8000 4320301 4310692
9000 4860301 4850692
10000 5400301 5390692
1000 555309 545156
2000 1110309 1100156
3000 1665309 1655156
4000 2220309 2210156
5000 2775309 2765156
6000 3330309 3320156
7000 3885309 3875156
8000 4440309 4430156
9000 4995309 4985156
10000 5550309 5540156
1000 570317 559605
2000 1140317 1129605
3000 1710317 1699605
4000 2280317 2269605
5000 2850317 2839605
6000 3420317 3409605
7000 3990317 3979605
8000 4560317 4549605
9000 5130317 5119605
10000 5700317 5689605
1000 585325 574039
2000 1170325 1159039
3000 1755325 1744039
4000 2340325 2329039
5000 2925325 2914039
6000 3510325 3499039
7000 4095325 4084039
8000 4680325 4669039
9000 5265325 5254039
10000 5850325 5839039
1000 600333 588458
2000 1200333 1188458
3000 1800333 1788458
4000 2400333 2388458
5000 3000333 2988458
6000 3600333 3588458
7000 4200333 4188458
8000 4800333 4788458
9000 5400333 5388458
10000 6000333 5988458
1000 615341 602862
2000 1230341 1217862
3000 1845341 1832862
4000 2460341 2447862
5000 3075341 3062862
6000 3690341 3677862
7000 4305341 4292862
8000 4920341 4907862
9000 5535341 5522862
10000 6150341 6137862
