1000 15021 15002
2000 30021 30002
3000 45021 45002
4000 60021 60002
5000 75021 75002
6000 90021 90002
7000 105021 105002
8000 120021 120002
9000 135021 135002
10000 150021 150002
1000 30029 30010
2000 60029 60010
3000 90029 90010
4000 120029 120010
5000 150029 150010
6000 180029 180010
7000 210029 210010
8000 240029 240010
9000 270029 270010
10000 300029 300010
1000 45037 45018
2000 90037 90018
3000 135037 135018
4000 180037 180018
5000 225037 225018
6000 270037 270018
7000 315037 315018
8000 360037 360018
9000 405037 405018
10000 450037 450018
1000 60045 60026
2000 120045 120026
3000 180045 180026
4000 240045 240026
5000 300045 300026
6000 360045 360026
7000 420045 420026
8000 480045 480026
9000 540045 540026
10000 600045 600026
1000 75053 75034
2000 150053 150034
3000 225053 225034
4000 300053 300034
5000 375053 375034
6000 450053 450034
7000 525053 525034
8000 600053 600034
9000 675053 675034
10000 750053 750034
1000 90061 90042
2000 180061 180042
3000 270061 270042
4000 360061 360042
5000 450061 450042
6000 540061 540042
7000 630061 630042
8000 720061 720042
9000 810061 810042
10000 900061 900042
1000 105069 105050
2000 210069 210050
3000 315069 315050
4000 420069 420050
5000 525069 525050
6000 630069 630050
7000 735069 735050
8000 840069 840050
9000 945069 945050
10000 1050069 1050050
1000 120077 120058
2000 240077 240058
3000 360077 360058
4000 480077 480058
5000 600077 600058
6000 720077 720058
7000 840077 840058
8000 960077 960058
9000 1080077 1080058
10000 1200077 1200058
1000 135085 135066
2000 270085 270066
3000 405085 405066
4000 540085 540066
5000 675085 675066
6000 810085 810066
7000 945085 945066
8000 1080085 1080066
9000 1215085 1215066
10000 1350085 1350066
1000 150093 150074
2000 300093 300074
3000 450093 450074
4000 600093 600074
5000 750093 750074
6000 900093 900074
7000 1050093 1050074
8000 1200093 1200074
9000 1350093 1350074
10000 1500093 1500074
1000 165101 165082
2000 330101 330082
3000 495101 495082
4000 660101 660082
5000 825101 825082
6000 990101 990082
7000 1155101 1155082
8000 1320101 1320082
9000 1485101 1485082
10000 1650101 1650082
1000 180109 180090
2000 360109 360090
3000 540109 540090
4000 720109 720090
5000 900109 900090
6000 1080109 1080090
7000 1260109 1260090
8000 1440109 1440090
9000 1620109 1620090
10000 1800109 1800090
1000 195117 195098
2000 390117 390098
3000 585117 585098
4000 780117 780098
5000 975117 975098
6000 1170117 1170098
7000 1365117 1365098
8000 1560117 1560098
9000 1755117 1755098
10000 1950117 1950098
1000 210125 210106
2000 420125 420106
3000 630125 630106
4000 840125 840106
5000 1050125 1050106
6000 1260125 1260106
7000 1470125 1470106
8000 1680125 1680106
9000 1890125 1890106
10000 2100125 2100106
1000 225133 225114
2000 450133 450114
3000 675133 675114
4000 900133 900114
5000 1125133 1125114
6000 1350133 1350114
7000 1575133 1575114
8000 1800133 1800114
9000 2025133 2025114
10000 2250133 2250114
1000 240141 240122
2000 480141 480122
3000 720141 720122
4000 960141 960122
5000 1200141 1200122
6000 1440141 1440122
7000 1680141 1680122
8000 1920141 1920122
9000 2160141 2160122
10000 2400141 2400122
1000 255149 255130
2000 510149 510130
3000 765149 765130
4000 1020149 1020130
5000 1275149 1275130
6000 1530149 1530130
7000 1785149 1785130
8000 2040149 2040130
9000 2295149 2295130
10000 2550149 2550130
1000 270157 270138
2000 540157 540138
3000 810157 810138
4000 1080157 1080138
5000 1350157 1350138
6000 1620157 1620138
7000 1890157 1890138
8000 2160157 2160138
9000 2430157 2430138
10000 2700157 2700138
1000 285165 285146
2000 570165 570146
3000 855165 855146
4000 1140165 1140146
5000 1425165 1425146
6000 1710165 1710146
7000 1995165 1995146
8000 2280165 2280146
9000 2565165 2565146
10000 2850165 2850146
1000 300173 300154
2000 600173 600154
3000 900173 900154
4000 1200173 1200154
5000 1500173 1500154
6000 1800173 1800154
7000 2100173 2100154
8000 2400173 2400154
9000 2700173 2700154
10000 3000173 3000154
1000 315181 315162
2000 630181 630162
3000 945181 945162
4000 1260181 1260162
5000 1575181 1575162
6000 1890181 1890162
7000 2205181 2205162
8000 2520181 2520162
9000 2835181 2835162
10000 3150181 3150162
1000 330189 330170
2000 660189 660170
3000 990189 990170
4000 1320189 1320170
5000 1650189 1650170
6000 1980189 1980170
7000 2310189 2310170
8000 2640189 2640170
9000 2970189 2970170
10000 3300189 3300170
1000 345197 345178
2000 690197 690178
3000 1035197 1035178
4000 1380197 1380178
5000 1725197 1725178
6000 2070197 2070178
7000 2415197 2415178
8000 2760197 2760178
9000 3105197 3105178
10000 3450197 3450178
1000 360205 360186
2000 720205 720186
3000 1080205 1080186
4000 1440205 1440186
5000 1800205 1800186
6000 2160205 2160186
7000 2520205 2520186
8000 2880205 2880186
9000 3240205 3240186
10000 3600205 3600186
1000 375213 375194
2000 750213 750194
3000 1125213 1125194
4000 1500213 1500194
5000 1875213 1875194
6000 2250213 2250194
7000 2625213 2625194
8000 3000213 3000194
9000 3375213 3375194
10000 3750213 3750194
1000 390221 390202
2000 780221 780202
3000 1170221 1170202
4000 1560221 1560202
5000 1950221 1950202
6000 2340221 2340202
7000 2730221 2730202
8000 3120221 3120202
9000 3510221 3510202
10000 3900221 3900202
1000 405229 405210
2000 810229 810210
3000 1215229 1215210
4000 1620229 1620210
5000 2025229 2025210
6000 2430229 2430210
7000 2835229 2835210
8000 3240229 3240210
9000 3645229 3645210
10000 4050229 4050210
1000 420237 420218
2000 840237 840218
3000 1260237 1260218
4000 1680237 1680218
5000 2100237 2100218
6000 2520237 2520218
7000 2940237 2940218
8000 3360237 3360218
9000 3780237 3780218
10000 4200237 4200218
1000 435245 435226
2000 870245 870226
3000 1305245 1305226
4000 1740245 1740226
5000 2175245 2175226
6000 2610245 2610226
7000 3045245 3045226
8000 3480245 3480226
9000 3915245 3915226
10000 4350245 4350226
1000 450253 450234
2000 900253 900234
3000 1350253 1350234
4000 1800253 1800234
5000 2250253 2250234
6000 2700253 2700234
7000 3150253 3150234
8000 3600253 3600234
9000 4050253 4050234
10000 4500253 4500234
1000 465261 465242
2000 930261 930242
3000 1395261 1395242
4000 1860261 1860242
5000 2325261 2325242
6000 2790261 2790242
7000 3255261 3255242
8000 3720261 3720242
9000 4185261 4185242
10000 4650261 4650242
1000 480269 480250
2000 960269 960250
3000 1440269 1440250
4000 1920269 1920250
5000 2400269 2400250
6000 2880269 2880250
7000 3360269 3360250
8000 3840269 3840250
9000 4320269 4320250
10000 4800269 4800250
1000 495277 495258
2000 990277 990258
3000 1485277 1485258
4000 1980277 1980258
5000 2475277 2475258
6000 2970277 2970258
7000 3465277 3465258
8000 3960277 3960258
9000 4455277 4455258
10000 4950277 4950258
1000 510285 510266
2000 1020285 1020266
3000 1530285 1530266
4000 2040285 2040266
5000 2550285 2550266
6000 3060285 3060266
7000 3570285 3570266
8000 4080285 4080266
9000 4590285 4590266
10000 5100285 5100266
1000 525293 525274
2000 1050293 1050274
3000 1575293 1575274
4000 2100293 2100274
5000 2625293 2625274
6000 3150293 3150274
7000 3675293 3675274
8000 4200293 4200274
9000 4725293 4725274
10000 5250293 5250274
1000 540301 540282
2000 1080301 1080282
3000 1620301 1620282
4000 2160301 2160282
5000 2700301 2700282
6000 3240301 3240282
7000 3780301 3780282
8000 4320301 4320282
9000 4860301 4860282
10000 5400301 5400282
1000 555309 555290
2000 1110309 1110290
3000 1665309 1665290
4000 2220309 2220290
5000 2775309 2775290
6000 3330309 3330290
7000 3885309 3885290
8000 4440309 4440290
9000 4995309 4995290
10000 5550309 5550290
1000 570317 570298
2000 1140317 1140298
3000 1710317 1710298
4000 2280317 2280298
5000 2850317 2850298
6000 3420317 3420298
7000 3990317 3990298
8000 4560317 4560298
9000 5130317 5130298
10000 5700317 5700298
1000 585325 585306
2000 1170325 1170306
3000 1755325 1755306
4000 2340325 2340306
5000 2925325 2925306
6000 3510325 3510306
7000 4095325 4095306
8000 4680325 4680306
9000 5265325 5265306
10000 5850325 5850306
1000 600333 600314
2000 1200333 1200314
3000 1800333 1800314
4000 2400333 2400314
5000 3000333 3000314
6000 3600333 3600314
7000 4200333 4200314
8000 4800333 4800314
9000 5400333 5400314
10000 6000333 6000314
1000 615341 615322
2000 1230341 1230322
3000 1845341 1845322
4000 2460341 2460322
5000 3075341 3075322
6000 3690341 3690322
7000 4305341 4305322
8000 4920341 4920322
9000 5535341 5535322
10000 6150341 6150322
