0 34 13
1 142 80
2 322 217
3 574 424
4 898 701
5 1294 1048
6 1762 1465
7 2302 1952
8 2914 2509
9 3598 3136
10 4354 3833
11 5182 4600
12 6082 5437
13 7054 6344
14 8098 7321
15 9214 8368
16 10402 9485
17 11662 10672
18 12994 11929
19 14398 13256
20 15874 14653
21 17422 16120
22 19042 17657
23 20734 19264
24 22498 20941
25 24334 22688
26 26242 24505
27 28222 26392
28 30274 28349
29 32398 30376
30 34594 32473
100 367234 353213
150 820834 792313
200 1454434 1406413
250 2268034 2195513
300 3261634 3159613
350 4435234 4298713
400 5788834 5612813
450 7322434 7101913
500 9036034 8766013
550 10929634 10605113
600 13003234 12619213
650 15256834 14808313
700 17690434 17172413
750 20304034 19711513
800 23097634 22425613
850 26071234 25314713
900 29224834 28378813
950 32558434 31617913
1000 36072034 35032013
