10 668 513
20 1278 983
30 1888 1453
40 2498 1923
50 3108 2393
60 3718 2863
70 4328 3333
80 4938 3803
90 5548 4273
100 6158 4743
110 6768 5213
120 7378 5683
130 7988 6153
140 8598 6623
150 9208 7093
160 9818 7563
170 10428 8033
180 11038 8503
190 11648 8973
200 12258 9443
100 6158 4743
200 12258 9443
300 18358 14143
400 24458 18843
500 30558 23543
600 36658 28243
700 42758 32943
800 48858 37643
900 54958 42343
1000 61058 47043
1100 67158 51743
1200 73258 56443
1300 79358 61143
1400 85458 65843
1500 91558 70543
1600 97658 75243
1700 103758 79943
1800 109858 84643
1900 115958 89343
2000 122058 94043
1000 61058 47043
2000 122058 94043
3000 183058 141043
4000 244058 188043
5000 305058 235043
6000 366058 282043
7000 427058 329043
8000 488058 376043
9000 549058 423043
10000 610058 470043
