0 4
10 405
20 855
30 1305
40 1755
50 2205
60 2655
70 3105
80 3555
90 4005
100 4455
110 4905
120 5355
130 5805
140 6255
150 6705
160 7155
170 7605
180 8055
190 8505
200 8955
100 4455
200 8955
300 13455
400 17955
500 22455
600 26955
700 31455
800 35955
900 40455
1000 44955
1100 49455
1200 53955
1300 58455
1400 62955
1500 67455
1600 71955
1700 76455
1800 80955
1900 85455
2000 89955
1000 44955
2000 89955
3000 134955
4000 179955
5000 224955
6000 269955
7000 314955
8000 359955
9000 404955
10000 449955
