0 4 4
10 1244 824
20 2484 1773
30 3724 2803
40 4964 3806
50 6204 4890
60 7444 5974
70 8684 7058
80 9924 8115
90 11164 9226
100 12404 10364
110 13644 11448
120 14884 12586
130 16124 13697
140 17364 14835
150 18604 15973
160 19844 17084
170 21084 18249
180 22324 19360
190 23564 20525
200 24804 21690
100 12404 10364
200 24804 21690
300 37204 33205
400 49604 44990
500 62004 56802
600 74404 68668
700 86804 80642
800 99204 92616
900 111604 104644
1000 124004 116699
1100 136404 128862
1200 148804 140917
1300 161204 153107
1400 173604 165243
1500 186004 177433
1600 198404 189623
1700 210804 201867
1800 223204 214138
1900 235604 226382
2000 248004 238680
1000 124004 116699
2000 248004 238680
3000 372004 361795
4000 496004 485720
5000 620004 610131
6000 744004 734893
7000 868004 859844
8000 992004 985119
9000 1116004 1110583
10000 1240004 1236182
