0 18 12
10 572 532
20 2163 2032
30 4247 3752
40 7708 7347
50 11322 10317
60 16653 15272
70 21797 19907
80 28998 26307
90 35672 34262
100 44743 42887
110 52947 49752
120 63888 59147
130 73622 70037
140 86433 82792
150 97697 93417
160 112378 108007
170 125172 119312
180 141723 136337
190 156047 149247
200 174468 166857
100 44743 42982
150 97697 93347
200 174468 167687
250 269072 257287
300 389193 373612
350 525447 502757
400 688918 657327
450 866822 833562
500 1073643 1030622
550 1293197 1244507
600 1543368 1481222
650 1804572 1734032
700 2098093 2018222
750 2400947 2303217
800 2737818 2631612
850 3082322 2961492
900 3462543 3326482
950 3848697 3701997
1000 4272268 4098917
