0 18 18
10 572 532
20 2163 2063
30 4247 4107
40 7708 7508
50 11322 11082
60 16653 16353
70 21797 21457
80 28998 28598
90 35672 35232
100 44743 44243
110 52947 52407
120 63888 63288
130 73622 72982
140 86433 85733
150 97697 96957
160 112378 111578
170 125172 124332
180 141723 140823
190 156047 155107
200 174468 173468
100 44743 44243
150 97697 96957
200 174468 173468
250 269072 267832
300 389193 387693
350 525447 523707
400 688918 686918
450 866822 864582
500 1073643 1071143
550 1293197 1290457
600 1543368 1540368
650 1804572 1801332
700 2098093 2094593
750 2400947 2397207
800 2737818 2733818
850 3082322 3078082
900 3462543 3458043
950 3848697 3843957
1000 4272268 4267268
