2 12 12
7 732 267
12 2252 735
17 4572 1343
22 7692 2208
27 11612 3200
32 16332 4482
37 21852 5734
42 28172 7412
47 35292 9065
52 43212 11080
57 51932 13161
62 61452 15653
67 71772 17884
72 82892 20772
77 94812 23470
82 107532 26651
87 121052 29821
92 135372 33398
97 150492 36607
100 159948 39006
200 639948 152900
300 1439948 339250
400 2559948 599189
500 3999948 934845
600 5759948 1341514
700 7839948 1822752
800 10239948 2378999
900 12959948 3008038
1000 15999948 3708869
1100 19359948 4489636
1200 23039948 5335635
1300 27039948 6259892
1400 31359948 7257674
1500 35999948 8330705
1600 40959948 9471813
1700 46239948 10697029
1800 51839948 11985053
1900 57759948 13346710
2000 63999948 14792972
1000 15999948 3708869
2000 63999948 14792972
3000 143999948 33239116
4000 255999948 59045623
5000 399999948 92245850
6000 575999948 132797651
7000 783999948 180726649
8000 1023999948 236022517
9000 1295999948 298663858
10000 1599999948 368695407
