0 6 6
10 256 256
20 506 506
100 2506 2506
200 5006 5006
300 7506 7506
400 10006 10006
500 12506 12506
600 15006 15006
700 17506 17506
800 20006 20006
900 22506 22506
1000 25006 25006
1100 27506 27506
1200 30006 30006
1300 32506 32506
1400 35006 35006
1500 37506 37506
1600 40006 40006
1700 42506 42506
1800 45006 45006
1900 47506 47506
2000 50006 50006
1000 25006 25006
2000 50006 50006
3000 75006 75006
4000 100006 100006
5000 125006 125006
6000 150006 150006
7000 175006 175006
8000 200006 200006
9000 225006 225006
10000 250006 250006
